1. 私 (わたし) | Anh ấy | Cô ấy | Tôi | Bạn
乗り場 (のりば) | Lối ra | Lối vào | Điểm lên xe | Cổng chờ
県 (けん) | Thành phố | Làng | Tỉnh | Quận
庭 (にわ) | Phòng khách | Nhà bếp | Vườn | Sân thượng
休み (やすみ) | Học tập | Làm việc | Nghỉ ngơi/Ngày nghỉ | Đi chơi
卵 (たまご) | Sữa | Thịt | Trứng | Cá
肉 (にく) | Gạo | Rau | Thịt | Trái cây
魚 (さかな) | Mực | Tôm | Cá | Cua
野菜 (やさい) | Hoa quả | Đồ uống | Rau | Bánh kẹo
果物 (くだもの) | Trứng | Thịt | Trái cây | Sữa
飲み物 (のみもの) | Giày dép | Đồ ăn | Đồ uống | Quần áo
紅茶 (こうちゃ) | Trà xanh | Nước ngọt | Trà đen | Cà phê
牛乳 (ぎゅうにゅう) | Rượu | Nước ép | Sữa bò | Bia
お酒 (おさけ) | Sữa | Trà | Rượu | Nước lọc
番号 (ばんごう) | Tuổi tác | Địa chỉ | Số hiệu | Tên gọi
全部 (ぜんぶ) | Một phần | Không có gì | Tất cả | Một nửa
練習 (れんしゅう) | Thi đấu | Kiểm tra | Luyện tập | Nghỉ ngơi
意味 (いみ) | Màu sắc | Âm thanh | Ý nghĩa | Hình dáng
準備 (じゅんび) | Tiếp tục | Bắt đầu | Chuẩn bị | Kết thúc
故障 (こしょう) | Mua mới | Sử dụng | Hỏng hóc | Sửa chữa
掃除 (そうじ) | Giặt giũ | Nấu ăn | Dọn dẹp | Mua sắm
洗濯 (せんたく) | Đi chợ | Dọn dẹp | Giặt giũ | Tưới cây
散歩 (さんぽ) | Chạy bộ | Bơi lội | Đi dạo | Leo núi
公務員 (こうむいん) | Nông dân | Lập trình viên | Công chức | Công nhân
階段 (かいだん) | Cầu vượt | Thang máy | Cầu thang | Đường hầm
電気 (でんき) | Lửa | Gió | Điện/Đèn điện | Nước
地下鉄 (ちかてつ) | Xe buýt | Máy bay | Tàu điện ngầm | Tàu hỏa
飛行機 (ひこうき) | Xe tải | Tàu thủy | Máy bay | Xe điện
船 (ふね) | Máy bay | Xe đạp | Thuyền | Xe tăng
自転車 (じてんしゃ) | Tàu điện | Ô tô | Xe đạp | Xe máy
歩いて (あるいて) | Chạy | Đi bằng xe | Đi bộ | Đi bằng tàu
誕生日 (たんじょうび) | Ngày nghỉ | Ngày lễ | Ngày sinh nhật | Ngày Tết
週末 (しゅうまつ) | Giữa tuần | Cả tuần | Cuối tuần | Đầu tuần
先月 (せんげつ) | Tháng này | Tháng sau | Tháng trước | Năm ngoái
来月 (らいげつ) | Tháng trước | Sang năm | Tháng sau | Tháng này
今年 (ことし) | Năm sau | Năm ngoái | Năm nay | Năm kia
去年 (きょねん) | Năm sau | Năm tới | Năm ngoái | Năm nay
暇 (ひま) | Vui vẻ | Bận rộn | Rảnh rỗi | Buồn bã
賑やか (にぎやか) | Sạch sẽ | Buồn tẻ | Náo nhiệt | Yên tĩnh
有名 (ゆうめい) | Bình thường | Xấu xí | Nổi tiếng | Bí mật
親切 (しんせつ) | Lạnh lùng | Độc ác | Tốt bụng/Thân thiện | Kiêu ngạo
元気 (げんき) | Buồn ngủ | Mệt mỏi | Khỏe mạnh | Ốm yếu
便利 (べんり) | Bất tiện | Khó khăn | Tiện lợi | Dễ dàng
悪い (わるい) | Ngon | Đẹp | Xấu/Tồi | Tốt
難しい (むずかしい) | Dễ | Ngắn | Khó | Dài
易しい (やさしい) | Khó | Rẻ | Dễ | Đắt
狭い (せまい) | Cao | Rộng | Hẹp | Thấp
広い (ひろい) | Ngắn | Dài | Rộng | Hẹp
近い (ちかい) | Nhanh | Chậm | Gần | Xa
遠い (とおい) | Gần | Thấp | Xa | Cao
重い (おもい) | Mỏng | Dày | Nặng | Nhẹ
軽い (かるい) | Mềm | Cứng | Nhẹ | Nặng
暗い (くらい) | Sáng | Nóng | Tối | Lạnh
明るい (あかるい) | Tối | Đen | Sáng | Đỏ
背が高い (せがたかい) | Gầy | Béo | Dáng cao | Dáng thấp
頭 (あたま) | Bụng | Ngực | Đầu | Vai
足 (あし) | Tay | Mắt | Chân | Mũi
目 (め) | Tai | Tóc | Mắt | Miệng
耳 (みみ) | Lưỡi | Mũi | Tai | Mắt
口 (くち) | Tai | Răng | Miệng | Mắt
鼻 (はな) | Miệng | Hoa | Mũi | Lưng
喉 (のど) | Tim | Cổ | Họng | Vai
勉強 (べんきょう) | Làm việc | Giải trí | Học tập | Ngủ
仕事 (しごと) | Trò chơi | Thể thao | Công việc | Sở thích
洗います (あらいます) | Dán | Vẽ | Rửa/Giặt | Cắt
作ります (つくりまず) | Mua | Phá hủy | Chế tạo/Làm | Sử dụng
泳ぎます (およぎます) | Chạy | Đi bộ | Bơi | Nhảy
出します (だします) | Mở ra | Cất đi | Lấy ra/Nộp | Nhận vào
入れます (いれます) | Bỏ đi | Đóng lại | Cho vào | Lấy ra
降ります (ふります) | Ngừng | Thổi | Rơi (mưa/tuyết) | Bay
登ります (のぼります) | Chạy | Ngã | Leo (núi) | Xuống
泊まります (とまります) | Trở về | Đi qua | Trọ lại | Rời đi
浴びます (あびます) | Chải | Lau | Tắm (vòi sen) | Rửa
磨きます (みがきます) | Nhìn | Ăn | Đánh (răng) | Uống
掃除します (そうじします) | Đi ngủ | Giặt giũ | Dọn dẹp | Nấu ăn
洗濯します (せんたくします) | Quét nhà | Tưới cây | Giặt giũ | Rửa bát
散歩します (さんぽします) | Chạy bộ | Bơi lội | Đi dạo | Leo núi
買い物します (かいものします) | Bán hàng | Xem hàng | Mua sắm | Trả tiền
練習します (れんしゅうします) | Thi đấu | Bỏ cuộc | Luyện tập | Nghỉ ngơi
結婚します (けっこんします) | Hẹn hò | Chia tay | Kết hôn | Làm quen
覚えます (おぼえます) | Quên | Nói | Nhớ | Viết
忘れます (わすれます) | Tìm | Nhớ | Quên | Thấy
払います (はらいます) | Cho tiền | Mượn tiền | Trả tiền | Nhận tiền
脱ぎます (ぬぎます) | Phơi | Giặt | Cởi (quần áo) | Mặc
履きます (はきます) | Thắt (cà vạt) | Đeo (kính) | Đi (giày/tất) | Đội (mũ)
被ります (かぶります) | Đi (dép) | Khoác (áo) | Đội (mũ) | Đeo (nhẫn)
かけます (かけます) | Cởi | Mặc | Đeo (kính) | Thắt
借ります (かります) | Cho mượn | Bán | Mượn | Trả
返します (かえします) | Vứt | Lấy | Trả lại | Mượn
閉めます (しめます) | Tắt | Bật | Đóng | Mở
開けます (あけます) | Đóng | Khóa | Mở | Sửa
点けます (つけます) | Sửa | Hỏng | Bật (điện) | Tắt
消します (けします) | Bật | Viết | Tắt/Xóa | Đọc
急ぎます (いそぎます) | Chậm trễ | Dừng lại | Vội vã | Thong thả
待ちます (まちます) | Chạy | Gọi | Đợi | Đi
呼びます (よびます) | Nhìn | Nói | Gọi | Nghe
止めます (とめます) | Đi | Nhảy | Dừng/Đỗ | Chạy
曲がります (まがります) | Đi thẳng | Lùi lại | Rẽ | Nhảy
持ちます (もちます) | Vứt | Đánh | Cầm/Nắm | Thổi
手伝います (てつだいます) | Phá hoại | Đi chơi | Giúp đỡ | Từ chối
遊びます (あそびます) | Học | Ngủ | Chơi | Làm
疲れます (つかれます) | Hạnh phúc | Khỏe mạnh | Mệt mỏi | Vui vẻ
始めます (はじめます) | Kết thúc | Dừng lại | Bắt đầu | Tiếp tục
終わります (おわります) | Bắt đầu | Chuẩn bị | Kết thúc | Đang làm
勝ちます (かちます) | Bỏ cuộc | Hòa | Thắng | Thua
負けます (まけます) | Tham gia | Thắng | Thua | Hòa
吹きます (ふきます) | Rơi | Mưa | Thổi (gió) | Cháy
焼きます (やきます) | Hấp | Xào | Nướng | Luộc
壊れます (こわれます) | Sửa | Mới | Hỏng | Tốt
直します (なおします) | Mua mới | Vứt đi | Sửa chữa | Làm hỏng
間に合います (まにあいます) | Đi về | Muộn giờ | Kịp giờ | Nghỉ học
遅れます (おくれます) | Sớm | Nhanh | Trễ/Muộn | Đúng giờ
たぶん (たぶん) | Chắc chắn | Không bao giờ | Có lẽ | Luôn luôn
きっと (きっと) | Có thể | Hình như | Chắc chắn | Không biết
本当に (ほんとうに) | Có lẽ | Không hẳn | Thật sự | Giả vờ
一緒に (いっしょに) | Khác nhau | Riêng lẻ | Cùng nhau | Một mình
一人で (ひとりで) | Hai người | Cùng nhau | Một mình | Mọi người
大変 (たいへん) | Vui vẻ | Dễ dàng | Vất vả | Rảnh rỗi
無理 (むり) | Có thể | Đơn giản | Quá sức/Không thể | Dễ
大切 (たいせつ) | Rẻ tiền | Bình thường | Quan trọng | Vô dụng
危ない (あぶない) | Sạch sẽ | An toàn | Nguy hiểm | Vui vẻ
丈夫 (じょうぶ) | Cũ | Hỏng | Bền/Chắc | Yếu
暇 (ひま) | Khỏe | Bận rộn | Rảnh rỗi | Mệt
色 (いろ) | Hình dáng | Kích thước | Màu sắc | Cân nặng
黄色い (きいろい) | Xanh | Đỏ | Vàng | Trắng
茶色い (ちゃいろい) | Đen | Tím | Nâu | Xám
甘い (あまい) | Mặn | Chua | Ngọt | Cay
辛い (からい) | Đắng | Nhạt | Cay | Ngọt
塩辛い (しおからい) | Chua | Ngọt | Mặn | Cay
酸っぱい (すっぱい) | Cay | Ngọt | Chua | Mặn
遠く (とおく) | Thấp | Cao | Xa | Gần
近く (ちかく) | Rộng | Xa | Gần | Hẹp
全部 (ぜんぶ) | Một ít | Bên trái | Tất cả | Phía sau
半分 (はんぶん) | Gấp đôi | Tất cả | Một nửa | Một phần ba
皿 (さら) | Cái thìa | Cái đũa | Cái đĩa | Cái bát
茶碗 (ちゃわん) | Cái cốc | Cái đĩa | Cái bát | Cái ấm
コップ (こっぷ) | Cái thìa | Cái dao | Cái cốc | Cái dĩa
スプーン (すぷーん) | Cái dĩa | Cái kéo | Cái thìa | Cái dao
フォーク (ふぉーく) | Cái đĩa | Cái bát | Cái dĩa | Cái thìa
ナイフ (ないふ) | Cái kéo | Cái thước | Con dao | Cái bút
箸 (はし) | Muỗng | Nĩa | Đũa | Dao
砂糖 (さとう) | Tiêu | Muối | Đường | Mắm
塩 (しお) | Giấm | Đường | Muối | Dầu ăn
醤油 (しょうゆ) | Nước mắm | Dầu hào | Nước tương | Tương ớt
建物 (たてもの) | Phương tiện | Con đường | Tòa nhà | Cây cối
ビル (びる) | Công viên | Chùa | Tòa nhà cao tầng | Nhà cấp 4
門 (もん) | Tường | Mái nhà | Cổng | Cửa sổ
玄関 (げんかん) | Nhà bếp | Ban công | Lối vào/Huyền quan | Phòng ngủ
トイレ (といれ) | Sân vườn | Nhà tắm | Nhà vệ sinh | Phòng khách
お風呂 (おふろ) | Nhà xe | Phòng ngủ | Bồn tắm/Nhà tắm | Phòng ăn
台所 (だいどころ) | Phòng khách | Nhà kho | Nhà bếp | Phòng tắm
廊下 (ろうか) | Trần nhà | Cửa chính | Hành lang | Cầu thang
角 (かど) | Cầu | Ngã tư | Góc đường | Hầm
交差点 (こうさてん) | Vỉa hè | Đường một chiều | Ngã tư | Đường cụt
信号 (しんごう) | Biển báo | Vạch kẻ đường | Đèn giao thông | Trạm xe buýt
道 (みち) | Dòng sông | Ngọn núi | Con đường | Tòa nhà
橋 (はし) | Nhà ga | Con đường | Cây cầu | Đường hầm
空 (そら) | Rừng rậm | Mặt đất | Bầu trời | Đại dương
海 (うみ) | Sông | Ao | Biển | Hồ
川 (かわ) | Núi | Biển | Sông | Sa mạc
山 (やま) | Biển | Cánh đồng | Núi | Sông
花 (はな) | Rễ | Lá | Hoa | Cỏ
天気 (てんき) | Nhiệt độ | Độ ẩm | Thời tiết | Áp suất
雨 (あめ) | Nắng | Tuyết | Mưa | Gió
雪 (ゆき) | Sương mù | Mưa | Tuyết | Mưa đá
風 (かぜ) | Mưa | Nắng | Gió | Mây
晴れ (はれ) | Mây | Tuyết | Nắng/Trời quang | Mưa
曇り (くもり) | Nắng | Gió | Nhiều mây/U ám | Mưa
北 (きた) | Phía Đông | Phía Nam | Phía Bắc | Phía Tây
南 (みなみ) | Phía Đông | Phía Bắc | Phía Nam | Phía Tây
東 (ひがし) | Phía Tây | Phía Bắc | Phía Đông | Phía Nam
西 (にし) | Phía Đông | Phía Nam | Phía Tây | Phía Bắc
右 (みぎ) | Đằng sau | Bên trái | Bên phải | Đằng trước
左 (ひだり) | Bên phải | Ở giữa | Bên trái | Bên cạnh
前 (まえ) | Bên trên | Đằng sau | Đằng trước | Bên dưới
後ろ (うしろ) | Ở trong | Đằng trước | Đằng sau | Bên cạnh
隣 (となり) | Đối diện | Phía trên | Bên cạnh | Phía dưới
近く (ちかく) | Ở ngoài | Ở xa | Ở gần | Ở giữa
外 (そと) | Phía trên | Bên trong | Bên ngoài | Phía dưới
中 (なか) | Bên ngoài | Phía sau | Bên trong | Phía trước
間 (あいだ) | Phía tây | Phía đông | Ở giữa | Bên cạnh
そば (そば) | Trong | Trên | Gần/Cạnh bên | Xa
テーブル (てーぶる) | Cái tủ | Cái ghế | Cái bàn | Cái rèm
ベッド (べっど) | Cái bàn | Cái kệ | Cái giường | Cái gối
ポスト (ぽすと) | Thùng rác | Biển báo | Hòm thư | Cột điện
スイッチ (すいっち) | Ổ cắm | Dây điện | Công tắc | Bóng đèn
ドア (どあ) | Tường | Cửa sổ | Cửa chính | Trần nhà
石鹸 (せっけん) | Bàn chải | Khăn mặt | Xà phòng | Kem đánh răng
封筒 (ふうとう) | Tem | Giấy viết thư | Phong bì | Bút mực
写真 (しゃしん) | Tờ báo | Tạp chí | Bức ảnh | Bức tranh
映画 (えいが) | Thể thao | Âm nhạc | Phim ảnh | Hội họa
映画館 (えいがかん) | Nhà hát | Thư viện | Rạp chiếu phim | Công viên
テニス (てにす) | Bóng đá | Cầu lông | Quần vợt | Bóng chuyền
サッカー (さっかー) | Bơi lội | Chạy bộ | Bóng đá | Bóng chày
泳ぎ (およぎ) | Việc nhảy | Việc leo núi | Việc bơi lội | Việc chạy bộ
歌 (うた) | Điệu nhảy | Bức tranh | Bài hát | Bài thơ
ギター (ぎたー) | Trống | Kèn | Đàn ghi-ta | Đàn piano
ニュース (にゅーす) | Phim truyện | Ca nhạc | Tin tức | Quảng cáo
パーティー (ぱーてぃー) | Buổi học | Cuộc họp | Bữa tiệc | Chuyến đi
カレー (かれー) | Món súp | Món cơm | Món cà ri | Món mì
パン (ぱん) | Cơm | Sữa | Bánh mì | Trứng
肉類 (にくるい) | Các loại cá | Các loại quả | Các loại thịt | Các loại rau
休み (やすみ) | Ngày làm việc | Ngày Tết | Ngày nghỉ | Ngày lễ
旅行 (りょこう) | Làm việc | Dọn dẹp | Du lịch | Học tập
宿題 (しゅくだい) | Tài liệu | Sách vở | Bài tập về nhà | Bài kiểm tra
テスト (てすと) | Bài giảng | Kỳ nghỉ | Bài kiểm tra | Buổi họp
質問 (しつもん) | Ý kiến | Câu trả lời | Câu hỏi | Lời chào
答え (こたえ) | Ví dụ | Câu hỏi | Câu trả lời | Bài tập
例 (れい) | Kết quả | Lý do | Ví dụ | Bài tập
番 (ばん) | Tên | Địa chỉ | Số/Số thứ tự | Tuổi
次 (つぎ) | Cuối cùng | Vừa rồi | Tiếp theo | Trước đây
一番 (いちばん) | Bình thường | Thứ hai | Nhất/Số 1 | Cuối cùng
どっち (どっち) | Tại sao | Khi nào | Phía nào/Cái nào | Ai
こっち (こっち) | Phía đó | Đằng kia | Phía này | Phía kia
そっち (そっち) | Phía này | Đằng này | Phía đó | Phía kia
あっち (あっち) | Ở đây | Phía này | Phía kia | Phía đó
向こう (むこう) | Phía dưới | Bên cạnh | Phía đối diện | Phía sau
意味 (いみ) | Cách đọc | Âm thanh | Ý nghĩa | Cách viết
字 (じ) | Màu sắc | Âm thanh | Chữ/Ký tự | Hình ảnh
漢字 (かんじ) | Chữ cứng | Chữ mềm | Hán tự | Chữ la tinh
ローマ字 (ろーまじ) | Số | Chữ Hán | Chữ La-mã | Chữ Nhật
文法 (ぶんぽう) | Hội thoại | Phát âm | Ngữ pháp | Từ vựng
言葉 (ことば) | Bài văn | Chữ viết | Từ vựng/Lời nói | Ngữ pháp
授業 (じゅぎょう) | Cuộc họp | Buổi tiệc | Giờ học | Kỳ nghỉ
講義 (こうぎ) | Bài tập | Bài thi | Bài giảng | Sách
練習 (れんしゅう) | Thi đấu | Nghỉ ngơi | Luyện tập | Bỏ cuộc
復習 (ふくしゅう) | Nghỉ ngơi | Kiểm tra | Ôn tập | Học mới
予習 (よしゅう) | Đi chơi | Đi ngủ | Chuẩn bị bài mới | Ôn bài cũ
辞書 (じしょ) | Vở | Tạp chí | Từ điển | Sách giáo khoa
ページ (ぺーじ) | Quyển sách | Bìa sách | Trang (sách) | Dòng chữ
紙 (かみ) | Thước | Tẩy | Giấy | Bút
鉛筆 (えんぴつ) | Phấn | Bút bi | Bút chì | Bút máy
ボールペン (ぼーるぺん) | Cục tẩy | Bút chì | Bút bi | Thước kẻ
消しゴム (けしごむ) | Thước kẻ | Cuốn sổ | Cục tẩy | Cái bút
万年筆 (まんねんひつ) | Bút màu | Bút sáp | Bút máy | Bút chì
文章 (ぶんしょう) | Tiêu đề | Từ đơn | Đoạn văn | Chữ cái
作文 (さくぶん) | Bài toán | Bản vẽ | Bài tập làm văn | Bài hát
習います (ならいます) | Dạy | Nhớ | Học | Quên
教えます (おしえます) | Học | Chơi | Dạy/Chỉ bảo | Ngủ
頼みます (たのみます) | Giúp đỡ | Từ chối | Nhờ vả | Cho phép
貸します (かします) | Mượn | Lấy | Cho mượn | Trả
借ります (かりる) | Cho mượn | Thuê | Mượn | Trả
返します (かえします) | Giữ lại | Lấy đi | Trả lại | Vứt đi
渡します (わたします) | Mất | Nhận lấy | Đưa cho/Trao cho | Cất đi
脱ぎます (ぬぎます) | Giặt (đồ) | Mặc (đồ) | Cởi (đồ) | Mua (đồ)
履きます (はきます) | Quàng (khăn) | Đeo (kính) | Đi (giày/dép) | Đội (mũ)
差します (さします) | Đội (mũ) | Mặc (áo) | Che (ô) | Đeo (nhẫn)
勤めます (つとめます) | Nghỉ ngơi | Học tập | Làm việc/Công tác | Đi chơi
働きます (はたらきます) | Chơi | Nghỉ ngơi | Làm việc | Ngủ
休みます (やすみます) | Học bài | Chạy bộ | Nghỉ ngơi | Làm việc
終わります (おわります) | Tiếp tục | Đang làm | Kết thúc | Bắt đầu
始まります (はじまります) | Hoàn thành | Kết thúc | Bắt đầu | Dừng lại
上がります (あがります) | Chạy | Dừng lại | Tăng lên/Đi lên | Giảm xuống
下がります (さがります) | Nhảy | Đứng yên | Giảm xuống/Đi xuống | Tăng lên
降ります (ふります) | Thổi | Nắng | Rơi (mưa/tuyết) | Bay
吹きます (ふきます) | Rơi | Cháy | Thổi (gió) | Ngừng
消えます (きえます) | Bật lên | Sáng | Bị tắt/Biến mất | Xuất hiện
