1. 脆弱 (ぜいじゃく) | Phức tạp | Đơn giản | Mong manh/Yếu đuối | Kiên cố
明白 (めいはく) | Nhầm lẫn | Sai lệch | Minh bạch/Rõ ràng | Mơ hồ
慎重 (しんちょう) | Vội vã | Cẩu thả | Thận trọng | Bất cẩn
曖昧 (あいまい) | Minh bạch | Chính xác | Mơ hồ | Rõ ràng
深刻 (しんこく) | Nhẹ nhàng | Vui vẻ | Nghiêm trọng | Tầm thường
妥当 (だとう) | Sai lệch | Mơ hồ | Thỏa đáng | Vô lý
懸命 (けんめい) | Bỏ cuộc | Thờ ơ | Nỗ lực hết sức | Lười biếng
軽快 (けいかい) | Mệt mỏi | Lo lắng | Thư thái/Nhẹ nhàng | Nặng nề
強硬 (きょうこう) | Nhượng bộ | Do dự | Cương quyết | Dễ dãi
頻繁 (ひんぱん) | Thi thoảng | Vô định | Thường xuyên | Hiếm khi
膨大 (ぼうだい) | Nhỏ bé | Còi cọc | Khổng lồ | Tí hon
迅速 (じんそく) | Trì hoãn | Lề mề | Nhanh chóng | Chậm chạp
充実 (じゅうじつ) | Vô nghĩa | Bỏ dở | Sung túc/Trọn vẹn | Thiếu thốn
懸念 (けねん) | Tin tưởng | Bình thản | Lo ngại | Hy vọng
考慮 (こうりょ) | Bỏ qua | Làm ngơ | Xem xét | Phớt lờ
象徴 (しょうちょう) | Hư cấu | Vô nghĩa | Biểu tượng | Phi thực tế
誇張 (こちょう) | Giảm bớt | Che giấu | Phóng đại | Thu nhỏ
慎重 (しんちょう) | Vội vàng | Chủ quan | Thận trọng | Bất cẩn
均衡 (きんこう) | Xung đột | Bất ổn | Cân bằng | Mất cân bằng
妥協 (だきょう) | Phản đối | Kiên định | Thỏa hiệp | Cố chấp
錯覚 (さっかく) | Thực tế | Logic | Ảo giác | Nhận thức đúng
妥当 (だとう) | Sai trái | Mơ hồ | Thỏa đáng | Vô lý
懸命 (けんめい) | Bỏ dở | Lãng phí | Nỗ lực | Lười biếng
究明 (きゅうめい) | Phớt lờ | Nhầm lẫn | Làm sáng tỏ | Giấu kín
克服 (こくふく) | Bỏ cuộc | Thất bại | Khắc phục | Đầu hàng
専念 (せんねん) | Lơ là | Phớt lờ | Chuyên tâm | Bỏ bê
把握 (はあく) | Mơ hồ | Bỏ qua | Nắm bắt | Hiểu lầm
観念 (かんねん) | Vật chất | Phớt lờ | Quan niệm | Thực tế
妥当 (だとう) | Sai lệch | Nhầm lẫn | Thỏa đáng | Vô lý
正当 (せいとう) | Bất hợp pháp | Mơ hồ | Chính đáng | Sai trái
曖昧 (あいまい) | Minh bạch | Chính xác | Mơ hồ | Rõ ràng
複雑 (ふくざつ) | Dễ hiểu | Rõ ràng | Phức tạp | Đơn giản
簡易 (かんい) | Rắc rối | Nhầm lẫn | Đơn giản | Phức tạp
深刻 (しんこく) | Bình thường | Tầm thường | Nghiêm trọng | Nhẹ nhàng
拡大 (かくだい) | Giảm bớt | Dừng lại | Mở rộng | Thu hẹp
縮小 (しゅくしょう) | Tăng lên | Phát triển | Thu nhỏ | Mở rộng
統合 (とうごう) | Phân hóa | Tách rời | Hợp nhất | Chia tách
融合 (ゆうごう) | Đối lập | Phân ly | Dung hợp | Chia tách
依存 (いぞん) | Tự chủ | Tách rời | Phụ thuộc | Độc lập
対策 (たいさく) | Hậu quả | Mơ hồ | Đối sách | Nguyên nhân
誤解 (ごかい) | Biết rõ | Minh bạch | Hiểu lầm | Hiểu đúng
解明 (かいめい) | Mơ hồ | Nhầm lẫn | Làm sáng tỏ | Giấu kín
批判 (ひはん) | Tán thành | Ủng hộ | Phê phán | Ca ngợi
議論 (ぎろん) | Im lặng | Nhất trí | Thảo luận/Tranh luận | Đồng thuận
接続 (せつぞく) | Tách rời | Hủy bỏ | Kết nối | Ngắt
調整 (ちょうせい) | Bỏ dở | Hủy bỏ | Điều chỉnh | Làm rối
管理 (かんり) | Vứt bỏ | Phá hủy | Quản lý | Lơ là
維持 (いじ) | Phá hủy | Thay đổi | Duy trì | Hủy bỏ
継続 (けいぞく) | Dừng lại | Hủy bỏ | Tiếp tục | Bỏ cuộc
停止 (ていし) | Tiếp tục | Phát triển | Đình chỉ/Dừng | Bắt đầu
修正 (しゅうせい) | Vứt đi | Phá hủy | Sửa chữa | Làm hỏng
実施 (じっし) | Phớt lờ | Nhầm lẫn | Thực thi | Hủy bỏ
施行 (しこう) | Phớt lờ | Mơ hồ | Thi hành | Bãi bỏ
提唱 (ていしょう) | Phớt lờ | Sai lệch | Đề xướng | Phản đối
遵守 (じゅんしゅ) | Phớt lờ | Nhầm lẫn | Tuân thủ | Vi phạm
転換 (てんかん) | Sai lệch | Mơ hồ | Chuyển đổi | Giữ nguyên
供給 (きょうきゅう) | Tiêu thụ | Hủy bỏ | Cung cấp | Nhu cầu
需要 (じゅよう) | Thừa thãi | Phớt lờ | Nhu cầu | Cung cấp
消費 (しょうひ) | Đầu cơ | Phớt lờ | Tiêu thụ | Tích trữ
投資 (とうし) | Phá sản | Phớt lờ | Đầu tư | Rút vốn
利益 (りえき) | Nợ nần | Phớt lờ | Lợi nhuận | Thua lỗ
損失 (そんしつ) | Thặng dư | Phớt lờ | Tổn thất | Lợi nhuận
資産 (しさん) | Nghèo đói | Phớt lờ | Tài sản | Nợ nần
負債 (ふさい) | Giàu có | Phớt lờ | Nợ nần | Tài sản
予算 (よさん) | Lãng phí | Phớt lờ | Ngân sách | Chi vượt
契約 (けいやく) | Đơn phương | Phớt lờ | Hợp đồng | Hủy bỏ
承認 (しょうにん) | Bác bỏ | Phớt lờ | Phê duyệt | Từ chối
締結 (ていけつ) | Phá vỡ | Phớt lờ | Ký kết | Hủy bỏ
破棄 (はき) | Duy trì | Phớt lờ | Hủy bỏ | Ký kết
公正 (こうせい) | Tư lợi | Phớt lờ | Công bằng | Thiên vị
独占 (どくせん) | Tự do | Phớt lờ | Độc quyền | Cạnh tranh
模倣 (もほう) | Đổi mới | Phớt lờ | Bắt chước | Sáng tạo
暫定 (ざんてい) | Vĩnh viễn | Cố định | Lâu dài | Tạm thời
懸案 (けんあん) | Giải quyết xong | Không tồn tại | Đơn giản | Vấn đề tồn đọng
釈明 (しゃくめい) | Thú tội | Im lặng | Phớt lờ | Giải trình/Biện minh
疎通 (そつう) | Tắc nghẽn | Hiểu lầm | Mâu thuẫn | Thông suốt/Giao tiếp
享受 (きょうじゅ) | Từ bỏ | Hy sinh | Chịu đựng | Hưởng thụ
介在 (かいざい) | Độc lập | Tách biệt | Tự phát | Trung gian/Can thiệp
帰属 (きぞく) | Độc lập | Tự do | Giải phóng | Trực thuộc/Quy về
懸念 (けねん) | Hy vọng | Tin tưởng | Bình thản | Lo ngại
喚起 (かんき) | Dập tắt | Ngăn cản | Phớt lờ | Khơi dậy/Gợi lên
欺瞞 (ぎまん) | Trung thực | Công khai | Rõ ràng | Lừa dối
糾弾 (きゅうだん) | Khen ngợi | Tán thành | Ủng hộ | Kết tội/Cáo buộc
示唆 (しさ) | Rõ ràng | Trực tiếp | Tuyên bố | Ám chỉ/Gợi ý
疎外 (そがい) | Gắn kết | Thân thiết | Hòa hợp | Xa lánh/Cô lập
妥協 (だきょう) | Cố chấp | Phản đối | Kiên định | Thỏa hiệp
提携 (ていけい) | Đối đầu | Tách biệt | Phá hủy | Hợp tác/Liên kết
抵触 (ていしょく) | Tuân thủ | Phù hợp | Hòa hợp | Xung đột/Vi phạm
払拭 (ふっしょく) | Duy trì | Tăng cường | Xây dựng | Xóa bỏ/Gạt bỏ
密接 (みっせつ) | Xa cách | Tách biệt | Lỏng lẻo | Mật thiết
網羅 (もうら) | Thiếu sót | Bỏ qua | Phớt lờ | Bao hàm/Bao quát
誘発 (ゆうはつ) | Ngăn cản | Dập tắt | Phớt lờ | Gây ra/Dẫn đến
廉価 (れんか) | Đắt đỏ | Vô giá | Xa xỉ | Giá rẻ
露呈 (ろてい) | Che giấu | Giữ kín | Phớt lờ | Lộ ra/Phơi bày
簡潔 (かんけつ) | Dài dòng | Vòng vo | Rườm rà | Súc tích
均等 (きんとう) | Lệch lạc | Thiên vị | Không đều | Cân bằng/Đều
厳格 (げんかく) | Dễ dãi | Phớt lờ | Bỏ qua | Nghiêm khắc
巧妙 (こうみょう) | Vụng về | Thô kệch | Kém cỏi | Khéo léo
困惑 (こんわく) | Bình tĩnh | Tự tin | Vững vàng | Bối rối
脆弱 (ぜいじゃく) | Kiên cố | Phức tạp | Đơn giản | Mong manh/Yếu đuối
妥当 (だとう) | Vô lý | Sai lệch | Mơ hồ | Thỏa đáng
端的 (たんてき) | Vòng vo | Mơ hồ | Dài dòng | Trực diện
緻密 (ちみつ) | Sơ sài | Cẩu thả | Lỏng lẻo | Tỉ mỉ
明白 (めいはく) | Mơ hồ | Nhầm lẫn | Sai lệch | Rõ ràng
慎重 (しんちょう) | Bất cẩn | Vội vàng | Chủ quan | Thận trọng
曖昧 (あいまい) | Rõ ràng | Minh bạch | Chính xác | Mơ hồ
深刻 (しんこく) | Nhẹ nhàng | Bình thường | Tầm thường | Nghiêm trọng
拡大 (かくだい) | Thu hẹp | Giảm bớt | Dừng lại | Mở rộng
縮小 (しゅくしょう) | Mở rộng | Tăng lên | Phát triển | Thu nhỏ
統合 (とうごう) | Chia tách | Phân hóa | Tách rời | Hợp nhất
分離 (ぶんり) | Hợp nhất | Phớt lờ | Sai lệch | Chia tách
融合 (ゆうごう) | Chia tách | Đối lập | Phân ly | Dung hợp
独立 (どくりつ) | Phụ thuộc | Tự chủ | Ràng buộc | Độc lập
依存 (いぞん) | Độc lập | Phớt lờ | Sai lệch | Phụ thuộc
反応 (はんのう) | Phớt lờ | Im lặng | Bỏ qua | Phản ứng
対策 (たいさく) | Nguyên nhân | Phớt lờ | Mơ hồ | Đối sách
誤解 (ごかい) | Hiểu đúng | Biết rõ | Minh bạch | Hiểu lầm
解明 (かいめい) | Giấu kín | Phớt lờ | Nhầm lẫn | Làm sáng tỏ
批判 (ひはん) | Ca ngợi | Tán thành | Ủng hộ | Phê phán
議論 (ぎろん) | Đồng thuận | Im lặng | Phớt lờ | Thảo luận/Tranh luận
合意 (ごうい) | Tranh cãi | Phản đối | Im lặng | Đồng thuận
関連 (かんれん) | Tách biệt | Độc lập | Không dính dáng | Liên quan
接続 (せつぞく) | Ngắt kết nối | Tách rời | Phá hủy | Kết nối
調整 (ちょうせい) | Làm rối | Bỏ qua | Phá hủy | Điều chỉnh
管理 (かんり) | Lơ là | Vứt bỏ | Phá hủy | Quản lý
維持 (いじ) | Hủy bỏ | Phá hủy | Thay đổi | Duy trì
継続 (けいぞく) | Bỏ cuộc | Dừng lại | Hủy bỏ | Tiếp tục
停止 (ていし) | Bắt đầu | Tiếp tục | Phát triển | Đình chỉ/Dừng
修正 (しゅうせい) | Làm hỏng | Vứt đi | Phá hủy | Sửa chữa
実施 (じっし) | Hủy bỏ | Phớt lờ | Nhầm lẫn | Thực thi
施行 (しこう) | Bãi bỏ | Phớt lờ | Mơ hồ | Thi hành
提唱 (ていしょう) | Phản đối | Phớt lờ | Sai lệch | Đề xướng
遵守 (じゅんしゅ) | Vi phạm | Phớt lờ | Nhầm lẫn | Tuân thủ
転換 (てんかん) | Giữ nguyên | Phớt lờ | Sai lệch | Chuyển đổi
究明 (きゅうめい) | Giấu kín | Phớt lờ | Mơ hồ | Làm rõ
克服 (こくふく) | Đầu hàng | Phớt lờ | Sai lệch | Khắc phục
専念 (せんねん) | Bỏ bê | Phớt lờ | Nhầm lẫn | Chuyên tâm
把握 (はあく) | Hiểu lầm | Phớt lờ | Mơ hồ | Nắm bắt
記録 (きろく) | Xóa bỏ | Phớt lờ | Sai lệch | Ghi chép
記憶 (きおく) | Sự quên lãng | Phớt lờ | Nhầm lẫn | Ký ức
観念 (かんねん) | Thực tế | Phớt lờ | Mơ hồ | Quan niệm
哲学 (てつがく) | Thực tế | Phớt lờ | Sai lệch | Triết học
論理 (ろんり) | Vô nghĩa | Phớt lờ | Nhầm lẫn | Logic
根拠 (こんきょ) | Vô căn cứ | Phớt lờ | Mơ hồ | Căn cứ
妥当 (だとう) | Vô lý | Phớt lờ | Sai lệch | Thỏa đáng
正当 (せいとう) | Sai trái | Phớt lờ | Nhầm lẫn | Chính đáng
不当 (ふとう) | Công bằng | Phớt lờ | Mơ hồ | Bất công
明確 (めいかく) | Mơ hồ | Phớt lờ | Sai lệch | Rõ ràng
曖昧 (あいまい) | Rõ ràng | Phớt lờ | Nhầm lẫn | Mơ hồ
複雑 (ふくざつ) | Đơn giản | Phớt lờ | Mơ hồ | Phức tạp
簡易 (かんい) | Phức tạp | Phớt lờ | Sai lệch | Đơn giản
深刻 (しんこく) | Nhẹ nhàng | Phớt lờ | Nhầm lẫn | Nghiêm trọng
軽微 (けいび) | Nghiêm trọng | Phớt lờ | Mơ hồ | Nhẹ nhàng
拡大 (かくだい) | Thu hẹp | Phớt lờ | Sai lệch | Mở rộng
縮小 (しゅくしょう) | Mở rộng | Phớt lờ | Nhầm lẫn | Thu nhỏ
統合 (とうごう) | Chia tách | Phớt lờ | Mơ hồ | Hợp nhất
分離 (ぶんり) | Hợp nhất | Phớt lờ | Sai lệch | Chia tách
融合 (ゆうごう) | Chia tách | Phớt lờ | Nhầm lẫn | Dung hợp
独立 (どくりつ) | Phụ thuộc | Phớt lờ | Mơ hồ | Độc lập
依存 (いぞん) | Độc lập | Phớt lờ | Sai lệch | Phụ thuộc
反応 (はんのう) | Phớt lờ | Im lặng | Nhầm lẫn | Phản ứng
対策 (たいさく) | Nguyên nhân | Phớt lờ | Mơ hồ | Đối sách
誤解 (ごかい) | Hiểu đúng | Phớt lờ | Sai lệch | Hiểu lầm
解明 (かいめい) | Giấu kín | Phớt lờ | Nhầm lẫn | Làm sáng
妥協 (だきょう) | Cố chấp | Phớt lờ | Mơ hồ | Thỏa hiệp
批判 (ひはん) | Ca ngợi | Phớt lờ | Sai lệch | Phê phán
議論 (ぎろん) | Đồng thuận | Phớt lờ | Nhầm lẫn | Thảo luận
合意 (ごうい) | Tranh cãi | Phớt lờ | Mơ hồ | Đồng thuận
関連 (かんれん) | Tách biệt | Phớt lờ | Sai lệch | Liên quan
接続 (せつぞく) | Ngắt | Phớt lờ | Nhầm lẫn | Kết nối
調整 (ちょうせい) | Làm rối | Phớt lờ | Mơ hồ | Điều chỉnh
管理 (かんり) | Lơ là | Phớt lờ | Sai lệch | Quản lý
