食べる (たべる) | Uống | Ngủ | Đi | Ăn
予算 (よさん) | Lợi nhuận | Chi phí | Doanh thu | Ngân sách
利益 (りえき) | Thua lỗ | Nợ nần | Thuế phí | Lợi nhuận
経費 (けいひ) | Tiết kiệm | Đầu tư | Vay vốn | Kinh phí
営業 (えいぎょう) | Sản xuất | Hành chính | Kỹ thuật | Kinh doanh
開発 (かいはつ) | Kết thúc | Duy trì | Sao chép | Phát triển
設計 (せっけい) | Thi công | Giám sát | Nghiệm thu | Thiết kế
技術 (ぎじゅつ) | Mỹ thuật | Nghệ thuật | Chiến thuật | Kỹ thuật
労働 (ろうどう) | Nghỉ ngơi | Vui chơi | Học tập | Lao động
作業 (さぎょう) | Nghỉ giải lao | Ngủ gật | Đi chơi | Thao tác/Công việc
手順 (てじゅん) | Kết quả | Lý do | Mục đích | Trình tự
規格 (きかく) | Giá cả | Màu sắc | Hình dáng | Quy cách/Tiêu chuẩn
現場 (げんば) | Văn phòng | Nhà riêng | Trường học | Hiện trường/Nhà xưởng
金型 (かながた) | Máy khoan | Cưa máy | Búa điện | Khuôn đúc
部品 (ぶひん) | Thành phẩm | Phế liệu | Bao bì | Linh kiện
組立 (くみたて) | Tháo dỡ | Sơn sửa | Đóng gói | Lắp ráp
加工 (かこう) | Mua bán | Vận chuyển | Lưu kho | Gia công
寸法 (すんぽう) | Trọng lượng | Màu sắc | Độ bền | Kích thước
誤差 (ごさ) | Chính xác | Kết quả | Công thức | Sai số
測定 (そくてい) | Phán đoán | Suy luận | Ước tính | Đo lường
研磨 (けんま) | Cắt gọt | Hàn xì | Sơn màu | Mài bóng
溶接 (ようせつ) | Khoan | Đục | Cưa | Hàn
塗装 (とそう) | Lau chùi | Rửa sạch | Quét dọn | Sơn
点検 (てんけん) | Phá hủy | Sử dụng | Bỏ qua | Kiểm tra
保守 (ほしゅ) | Tấn công | Sửa đổi | Xây dựng | Bảo trì
運用 (うんよう) | Ngừng máy | Vứt bỏ | Mua sắm | Vận hành
稼働 (かどう) | Đứng yên | Hỏng hóc | Cháy nổ | Hoạt động (máy)
停止 (ていし) | Tiếp tục | Khởi động | Tăng tốc | Tạm dừng
効率 (こうりつ) | Lãng phí | Thất bại | Trở ngại | Hiệu suất
無駄 (むだ) | Hữu ích | Cần thiết | Quý giá | Lãng phí
承認 (しょうにん) | Từ chối | Phản đối | Xem xét | Phê duyệt
許可 (きょか) | Cấm đoán | Bắt buộc | Nhắc nhở | Cho phép
指示 (しじ) | Hỏi han | Tâm sự | Nhờ vả | Chỉ thị
報告書 (ほうこくしょ) | Hợp đồng | Tờ rơi | Hóa đơn | Bản báo cáo
企画 (きかく) | Thực hiện | Kết thúc | Báo cáo | Kế hoạch/Quy hoạch
予算 (よさん) | Lợi nhuận | Tiền phạt | Tiền lẻ | Ngân sách
経費 (けいひ) | Thu nhập | Tiền lương | Tiền thưởng | Chi phí
請求書 (せいきゅうしょ) | Giấy mời | Danh thiếp | Vé xe | Hóa đơn yêu cầu thanh toán
領収書 (りょうしゅうしょ) | Đơn hàng | Bảng lương | Tờ khai | Biên lai
期限 (きげん) | Quá khứ | Tương lai | Hiện tại | Thời hạn
延期 (えんき) | Đẩy nhanh | Hoàn thành | Hủy bỏ | Trì hoãn
中止 (ちゅうし) | Bắt đầu | Duy trì | Đẩy mạnh | Hủy bỏ/Ngừng
交渉 (こうしょう) | Cãi nhau | Chào hỏi | Giới thiệu | Thương lượng
提携 (ていけい) | Đối đầu | Cạnh tranh | Tách rời | Hợp tác
競合 (きょうごう) | Giúp đỡ | Nhượng bộ | Thỏa hiệp | Cạnh tranh
市場 (しじょう) | Nhà kho | Công trường | Cửa hàng | Thị trường
需要 (じゅよう) | Cung cấp | Sản xuất | Tiêu dùng | Nhu cầu
供給 (きょうきゅう) | Đòi hỏi | Tiêu thụ | Lưu kho | Cung cấp
販路 (はんろ) | Đường đi | Lối thoát | Cổng vào | Kênh bán hàng
広告 (こうこく) | Tin nhắn | Thư từ | Điện thoại | Quảng cáo
宣伝 (せんでん) | Giấu kín | Phê bình | Điều tra | Tuyên truyền/PR
在庫 (ざいこ) | Hàng mới | Hàng cũ | Hàng giả | Tồn kho
返品 (へんぴん) | Mua hàng | Đặt hàng | Giao hàng | Trả lại hàng
発送 (はっそう) | Nhận hàng | Trả hàng | Giữ hàng | Gửi hàng
輸送 (ゆそう) | Đi bộ | Đứng yên | Bay lượn | Vận chuyển
倉庫 (そうこ) | Phòng họp | Phòng khách | Nhà bếp | Nhà kho
福利厚生 (ふくりこうせい) | Tiền phạt | Thuế | Bảo hiểm | Phúc lợi
出勤 (しゅっきん) | Nghỉ việc | Tăng ca | Về sớm | Đi làm
欠勤 (けっきん) | Đi làm | Công tác | Trễ giờ | Nghỉ làm
遅刻 (ちこく) | Về sớm | Nghỉ phép | Tăng ca | Đi trễ
早退 (そうたい) | Đi muộn | Nghỉ làm | Công tác | Về sớm
有給休暇 (ゆうきゅうきゅうか) | Nghỉ không lương | Nghỉ lễ | Nghỉ trưa | Nghỉ phép có lương
直行 (ちょっこう) | Về nhà | Đi làm | Nghỉ việc | Đến thẳng nơi công tác
直帰 (ちょっき) | Đến công ty | Đi họp | Đi ăn | Từ nơi công tác về thẳng nhà
残業手当 (ざんぎょうてあて) | Tiền thưởng | Lương cơ bản | Thuế thu nhập | Trợ cấp tăng ca
基本給 (きほんきゅう) | Tiền thưởng | Trợ cấp | Hoa hồng | Lương cơ bản
源泉徴収 (げんせんちょうしゅう) | Tiền bảo hiểm | Lương ròng | Tiền thưởng | Thuế thu nhập tại nguồn
健康診断 (けんこうしんだん) | Kiểm tra máy | Đào tạo | Phỏng vấn | Khám sức khỏe
自己紹介 (じこしょうかい) | Báo cáo công việc | Chào khách | Thảo luận | Giới thiệu bản thân
名刺 (めいし) | Thẻ nhân viên | Hộ chiếu | Giấy phép | Danh thiếp
印鑑 (いんかん) | Bút viết | Giấy tờ | Chữ ký | Con dấu
受付 (うけつけ) | Nhà kho | Nhà xưởng | Phòng họp | Quầy lễ tân
応接室 (おうせつしつ) | Nhà vệ sinh | Nhà xe | Phòng ăn | Phòng tiếp khách
会議室 (かいぎしつ) | Nhà bếp | Sân thượng | Cửa ra vào | Phòng họp
事務室 (じむしつ) | Phòng tắm | Phòng ngủ | Phòng máy | Phòng làm việc
更衣室 (こういしつ) | Phòng khách | Nhà kho | Nhà xưởng | Phòng thay đồ
休憩所 (きゅうけいじょ) | Nơi làm việc | Cổng bảo vệ | Bãi đỗ xe | Chỗ nghỉ ngơi
禁煙 (きんえん) | Cho phép hút thuốc | Nơi hút thuốc | Bán thuốc lá | Cấm hút thuốc
火気厳禁 (かきげんきん) | Cấm hút thuốc | Cấm chụp ảnh | Cấm vào | Cấm lửa
立ち入り禁止 (たちいりきんし) | Lối ra | Lối vào | Đường tắt | Cấm vào
整理 (せいり) | Sắp xếp | Sạch sẽ | Săn sóc | Sàng lọc (S1)
整頓 (せいとん) | Sàng lọc | Săn sóc | Sẵn sàng | Sắp xếp (S2)
清掃 (せいそう) | Sàng lọc | Sắp xếp | Săn sóc | Sạch sẽ (S3)
清潔 (せいけつ) | Sạch sẽ | Sắp xếp | Sẵn sàng | Săn sóc (S4)
躾 (しつけ) | Sàng lọc | Sạch sẽ | Sắp xếp | Sẵn sàng (S5)
安全靴 (あんぜんぐつ) | Giày thể thao | Dép lê | Ủng đi mưa | Giày bảo hộ
保護メガネ (ほごめがね) | Kính cận | Kính râm | Kính hiển vi | Kính bảo hộ
軍手 (ぐんて) | Mũ bảo hiểm | Khẩu trang | Tạp đề | Găng tay bảo hộ
防塵マスク (ぼうじんますく) | Mũ bảo hộ | Nút bịt tai | Kính mắt | Khẩu trang chống bụi
ヘルメット (へるめっと) | Găng tay | Áo khoác | Giày | Mũ bảo hiểm
作業着 (さぎょうぎ) | Đồ vest | Đồ bơi | Đồ ngủ | Quần áo bảo hộ
私服 (しふく) | Đồng phục | Đồ bảo hộ | Áo mưa | Quần áo bình thường
始業 (しぎょう) | Kết thúc công việc | Nghỉ trưa | Nghỉ lễ | Bắt đầu công việc
終業 (しゅうぎょう) | Bắt đầu công việc | Đi làm | Tăng ca | Kết thúc công việc
昼休み (ひるやすみ) | Nghỉ tối | Nghỉ lễ | Nghỉ bù | Nghỉ trưa
交替制 (こうたいせい) | Làm hành chính | Làm tự do | Nghỉ việc | Chế độ làm theo ca
夜勤 (やきん) | Làm ca ngày | Nghỉ phép | Đi công tác | Làm ca đêm
日勤 (にっきん) | Làm ca đêm | Nghỉ lễ | Tăng ca | Làm ca ngày
手当 (てあて) | Tiền phạt | Tiền thuế | Tiền nợ | Phụ cấp/Trợ cấp
昇給 (しょうきゅう) | Giảm lương | Giữ lương | Cắt lương | Tăng lương
賞与 (しょうよ) | Tiền lương | Tiền phạt | Thuế | Tiền thưởng
試用期間 (しようきかん) | Thời gian nghỉ phép | Thời gian tăng ca | Thời gian nghỉ hưu | Thời gian thử việc
正社員 (せいしゃいん) | Nhân viên thời vụ | Thực tập sinh | Người làm thêm | Nhân viên chính thức
派遣社員 (はけんしゃいん) | Giám đốc | Trưởng phòng | Chủ tịch | Nhân viên phái cử
契約社員 (けいやくしゃいん) | Nhân viên biên chế | Giám đốc | Khách hàng | Nhân viên hợp đồng
アルバイト (あるばいと) | Làm chính thức | Nghỉ việc | Thăng chức | Làm thêm
退職 (たいしょく) | Đi làm | Nhận chức | Thăng tiến | Nghỉ việc
外注 (がいちゅう) | Sản xuất nội bộ | Nhập khẩu | Xuất khẩu | Thuê ngoài (Outsource)
納期 (のうき) | Ngày bắt đầu | Ngày nghỉ | Ngày họp | Thời hạn giao hàng
歩留まり (ぶどまり) | Tỷ lệ hàng lỗi | Trọng lượng | Kích thước | Tỷ lệ thành phẩm
不良品 (ふりょうひん) | Hàng mới | Hàng mẫu | Hàng tặng | Hàng lỗi
良品 (りょうひん) | Hàng hỏng | Hàng giả | Hàng cũ | Hàng đạt chất lượng
廃棄 (はいき) | Lưu kho | Sử dụng | Sửa chữa | Tiêu hủy/Vứt bỏ
再加工 (さいかこう) | Đóng gói | Xuất kho | Kiểm hàng | Gia công lại
原材料 (げんざいりょう) | Máy móc | Nhà xưởng | Con người | Nguyên vật liệu
半製品 (はんせいひん) | Thành phẩm | Phế liệu | Linh kiện | Bán thành phẩm
仕掛品 (しかかりひん) | Hàng tồn kho | Hàng xuất | Hàng nhập | Sản phẩm dở dang
仕入 (しいれ) | Bán hàng | Tặng hàng | Trả hàng | Nhập hàng/Mua hàng
納品 (のうひん) | Nhận hàng | Hủy hàng | Đặt hàng | Giao hàng
検収 (けんしゅう) | Sản xuất | Thiết kế | Quảng cáo | Kiểm tra nghiệm thu
棚卸し (たなおろし) | Lau dọn | Sơn sửa | Vận hành | Kiểm kê hàng hóa
段取り (だんどり) | Kết thúc | Báo cáo | Phê duyệt | Chuẩn bị/Thiết lập
稼働率 (かどうりつ) | Tỷ lệ lỗi | Tỷ lệ nghỉ | Tỷ lệ thuế | Tỷ lệ hoạt động
金型 (かながた) | Ốc vít | Dây điện | Máy cắt | Khuôn mẫu
治具 (じぐ) | Máy tính | Bàn làm việc | Xe đẩy | Đồ gá/Dụng cụ hỗ trợ
台車 (だいしゃ) | Xe khách | Xe đạp | Máy bay | Xe đẩy hàng
棚 (たな) | Cái bàn | Cái ghế | Cái cửa | Cái giá/kệ
パレット (ぱれっと) | Cái thùng | Túi nilon | Cuộn băng dính | Tấm pallet
段ボール (だんぼーる) | Giấy văn phòng | Vải vụn | Kim loại | Thùng carton
コンテナ (こんてな) | Xe máy | Bình nước | Túi xách | Thùng chứa/Công-ten-nơ
計量 (けいりょう) | Cắt gọt | Lau chùi | Đóng dấu | Cân đo
研磨 (けんま) | Hàn | Khoan | Đục | Mài/Đánh bóng
切断 (せつだん) | Dán lại | Nối lại | Uốn cong | Cắt rời
溶接 (ようせつ) | Sơn | Cưa | Vặn | Hàn
塗装 (とそう) | Rửa | Sấy | Đục | Sơn phủ
乾燥 (かんそう) | Làm ướt | Làm bẩn | Làm hỏng | Làm khô/Sấy
冷却 (れいきゃく) | Đun nóng | Làm khô | Ép chặt | Làm lạnh
圧縮 (あっしゅく) | Giãn | Cắt | Nối | Nén
振動 (しんどう) | Đứng yên | Quay tròn | Bay lên | Rung động
摩擦 (まさつ) | Trơn trượt | Bay hơi | Đông đặc | Ma sát
摩耗 (まもう) | Làm mới | Tăng kích thước | Giữ nguyên | Mài mòn
潤滑油 (じゅんかつゆ) | Nước giải khát | Xăng | Cồn | Dầu nhờn
温度計 (おんどけい) | Thước dây | Cân | Đồng hồ bấm giờ | Nhiệt kế
気圧 (きあつ) | Nhiệt độ | Độ ẩm | Độ sáng | Áp suất khí
湿度 (しつど) | Độ cao | Độ dài | Độ rộng | Độ ẩm
騒音 (そうおん) | Âm nhạc | Yên tĩnh | Tiếng vang | Tiếng ồn
換気 (かんき) | Chiếu sáng | Cách âm | Chống cháy | Thông gió
整理 (せいり) | Sắp xếp | Sạch sẽ | Săn sóc | Sàng lọc
整頓 (せいとん) | Sàng lọc | Săn sóc | Sẵn sàng | Sắp xếp
清掃 (せいそう) | Sàng lọc | Sắp xếp | Sẵn sàng | Sạch sẽ
清潔 (せいけつ) | Sạch sẽ | Sắp xếp | Sàng lọc | Săn sóc
躾 (しつけ) | Săn sóc | Sạch sẽ | Sắp xếp | Sẵn sàng
安全第一 (あんぜんだいいち) | Tăng năng suất | Tiết kiệm | Làm nhanh | An toàn là trên hết
危険 (きけん) | An toàn | May mắn | Bình thường | Nguy hiểm
注意 (ちゅうい) | Bỏ qua | Quên lãng | Làm ngơ | Chú ý
禁止 (きんし) | Cho phép | Khuyến khích | Tự do | Cấm
義務 (ぎむ) | Quyền lợi | Sở thích | Mong muốn | Nghĩa vụ/Bắt buộc
稟議 (りんぎ) | Từ chối | Báo cáo | Thảo luận | Phê duyệt nội bộ
決裁 (けっさい) | Xem xét | Đề xuất | Trì hoãn | Quyết định/Phê chuẩn
起案 (きあん) | Kết thúc | Hủy bỏ | Kiểm tra | Soạn thảo đề án
定例会 (ていれいかい) | Họp khẩn cấp | Tiệc công ty | Phỏng vấn | Họp định kỳ
議事録 (ぎじろく) | Danh thiếp | Hợp đồng | Hóa đơn | Biên bản cuộc họp
回覧 (かいらん) | Giữ bí mật | Vứt bỏ | Lưu trữ | Gửi xem xung quanh
共有 (きょうゆう) | Giấu kín | Độc quyền | Xóa bỏ | Chia sẻ
機密 (きみつ) | Công khai | Quảng cáo | Tin tức | Bí mật
漏洩 (ろうえい) | Bảo mật | Lưu trữ | Thu nhận | Rò rỉ (thông tin)
原本 (げんぽん) | Bản sao | Bản nháp | Bản dịch | Bản gốc
副本 (ふくほん) | Bản chính | Bản gốc | Bản thảo | Bản sao/Bản phụ
締切 (しめきり) | Bắt đầu | Tạm dừng | Kéo dài | Hạn chót
進捗 (しんちょく) | Kết quả | Lý do | Trở ngại | Tiến độ
遅延 (ちえん) | Nhanh chóng | Hoàn thành | Bắt đầu | Trì trệ/Chậm trễ
前倒し (まえだおし) | Làm muộn | Hủy bỏ | Tạm ngưng | Làm sớm hơn dự định
後回し (あとまわし) | Làm ngay | Ưu tiên | Hoàn tất | Để sau/Hoãn lại
優先順位 (ゆうせんじゅんい) | Thứ tự ngẫu nhiên | Không quan trọng | Thứ tự ngược | Thứ tự ưu tiên
段取り (だんどり) | Kết quả | Lý do | Sai sót | Các bước chuẩn bị
効率化 (こうりつか) | Lãng phí | Chậm trễ | Phức tạp hóa | Hiệu suất hóa
自動化 (じどうか) | Thủ công | Bán tự động | Ngừng máy | Tự động hóa
省力化 (しょうりょくか) | Thuê thêm người | Làm nặng thêm | Nghỉ ngơi | Tiết kiệm sức lao động
コスト削減 (こすとさくげん) | Tăng chi phí | Giữ nguyên giá | Đầu tư thêm | Cắt giảm chi phí
予算案 (よさんあん) | Bảng lương | Hợp đồng | Hóa đơn | Dự thảo ngân sách
実績 (じっせき) | Kế hoạch | Dự định | Ước mơ | Thành tích/Kết quả thực tế
目標 (もくひょう) | Quá khứ | Sai lầm | Kết quả | Mục tiêu
達成 (たっせい) | Thất bại | Từ bỏ | Bắt đầu | Đạt được
未達 (みたつ) | Hoàn thành | Xuất sắc | Vượt mức | Chưa đạt được
分析 (ぶんせき) | Tổng hợp | Dự đoán | Sáng tạo | Phân tích
評価 (ひょうか) | Phê bình | Khen ngợi | Chỉ trích | Đánh giá
改善策 (かいぜんさく) | Nguyên nhân | Kết quả | Sai lầm | Kế hoạch cải tiến
対策 (たいさく) | Vấn đề | Rắc rối | Câu hỏi | Đối sách/Biện pháp
原因 (げんいん) | Kết quả | Tương lai | Mục đích | Nguyên nhân
結果 (けっか) | Nguyên nhân | Khởi đầu | Quá trình | Kết quả
仮説 (かせつ) | Sự thật | Kết luận | Chứng cứ | Giả thuyết
検証 (けんしょう) | Bỏ qua | Đoán mò | Tưởng tượng | Kiểm chứng
報告 (ほうこく) | Thảo luận | Liên lạc | Xin lỗi | Báo cáo
連絡 (れんらく) | Im lặng | Quên | Nhầm lẫn | Liên lạc
相談 (そうだん) | Ra lệnh | Phê bình | Khen ngợi | Thảo luận
承諾 (しょうだく) | Từ chối | Phản đối | Xem xét | Chấp thuận
拒否 (きょひ) | Đồng ý | Hoan nghênh | Chấp nhận | Từ chối
保留 (ほりゅう) | Quyết định | Hủy bỏ | Thực hiện | Bảo lưu/Gác lại
委託 (いたく) | Tự làm | Thu hồi | Hủy bỏ | Ủy thác
責任 (せきにん) | Quyền lợi | Tự do | Vui vẻ | Trách nhiệm
権限 (けんげん) | Nghĩa vụ | Công việc | Sở thích | Quyền hạn
担当 (たんとう) | Nghỉ ngơi | Giúp đỡ | Quan sát | Đảm trách/Phụ trách
引継ぎ (ひきつぎ) | Nhận việc | Nghỉ việc | Thăng chức | Bàn giao công việc
異動 (いどう) | Giữ nguyên | Thăng chức | Sa thải | Thay đổi vị trí
左遷 (させん) | Thăng chức | Tuyển dụng | Khen thưởng | Giáng chức
派遣 (はけん) | Thuê mướn | Sa thải | Nghỉ hưu | Phái cử
出向 (しゅっこう) | Nghỉ việc | Đi học | Đi chơi | Biệt phái
回路 (かいろ) | Con đường | Ống nước | Cửa sổ | Mạch điện
基板 (きばん) | Vỏ máy | Bánh xe | Dây cáp | Bảng mạch
配線 (はいせん) | Cắt cỏ | Quét nhà | Sơn tường | Đi dây điện
絶縁 (ぜつえん) | Dẫn điện | Chập điện | Cháy nổ | Cách điện
短絡 (たんらく) | Nối điện | Cách điện | Tiết kiệm điện | Đoản mạch/Chập điện
電圧 (でんあつ) | Cường độ | Điện trở | Công suất | Điện áp
電流 (でんりゅう) | Điện áp | Điện trở | Tần số | Dòng điện
抵抗 (ていこう) | Công tắc | Bóng đèn | Phích cắm | Điện trở
容量 (ようりょう) | Trọng lượng | Chiều dài | Chiều rộng | Dung lượng
端子 (たんし) | Dây dẫn | Nguồn điện | Công tắc | Đầu nối/Cực
電源 (でんげん) | Máy phát | Pin | Sạc | Nguồn điện
スイッチ (すいっち) | Bóng đèn | Cửa | Máy tính | Công tắc
センサー (せんさー) | Màn hình | Bàn phím | Chuột | Cảm biến
モーター (もーたー) | Bánh răng | Dây xích | Thùng xe | Động cơ
軸受 (じくうけ) | Trục máy | Bánh răng | Đai ốc | Vòng bi
歯車 (はぐるま) | Vòng bi | Ốc vít | Lò xo | Bánh răng
ネジ (ねじ) | Đinh | Keo | Búa | Ốc vít
ボルト (ぼると) | Đai ốc | Vít | Kìm | Bu lông
ナット (なっと) | Bu lông | Vít | Búa | Đai ốc
工具 (こうぐ) | Máy móc | Thiết bị | Vật liệu | Dụng cụ/Đồ nghề
金槌 (かなづち) | Cái kìm | Cái tua vít | Cái cưa | Cái búa
万力 (まんりき) | Cái bàn | Cái ghế | Cái tủ | Cái ê tô
旋盤 (せんばん) | Máy phay | Máy khoan | Máy mài | Máy tiện
フライス盤 (ふらいすばん) | Máy tiện | Máy bào | Máy ép | Máy phay
研削盤 (けんさくばん) | Máy khoan | Máy cắt | Máy hàn | Máy mài
プレス機 (ぷれすき) | Máy kéo | Máy thổi | Máy hút | Máy ép
溶接機 (ようせつき) | Máy cắt | Máy khoan | Máy mài | Máy hàn
鋳造 (ちゅうぞう) | Rèn | Hàn | Cắt | Đúc
鍛造 (たんぞう) | Đúc | Hàn | Sơn | Rèn
熱処理 (ねつしょり) | Làm lạnh | Sơn màu | Đóng gói | Xử lý nhiệt
表面処理 (ひょうめんしょり) | Lắp ráp | Vận chuyển | Lưu kho | Xử lý bề mặt
研磨 (けんま) | Hàn | Cắt | Khoan | Mài bóng
潤滑 (じゅんかつ) | Làm nhám | Làm bẩn | Làm hỏng | Bôi trơn
腐食 (ふしょく) | Làm mới | Sơn phủ | Bảo vệ | Ăn mòn
錆 (さび) | Sáng bóng | Mới | Bền | Rỉ sét
亀裂 (きれつ) | Vết xước | Vết bẩn | Vết sơn | Vết nứt
摩耗 (まもう) | Tăng thêm | Giữ nguyên | Làm sạch | Hao mòn
破損 (はそん) | Sửa chữa | Hoàn thành | Bắt đầu | Hư hỏng
変形 (へんけい) | Giữ nguyên | Làm mới | Đẹp hơn | Biến dạng
寸法 (すんぽう) | Trọng lượng | Màu sắc | Độ bền | Kích thước
公差 (こうさ) | Chính xác | Sai lệch | Kết quả | Dung sai
精度 (せいど) | Sai số | Trọng lượng | Chiều dài | Độ chính xác
感度 (かんど) | Độ bền | Độ cứng | Độ bóng | Độ nhạy
強度 (きょうど) | Độ mềm | Độ dẻo | Độ ẩm | Cường độ/Độ bền
硬度 (こうど) | Độ mềm | Độ dẻo | Độ dai | Độ cứng
密度 (みつど) | Khoảng cách | Độ dài | Độ rộng | Mật độ
粘度 (ねんど) | Độ cứng | Độ dai | Độ bền | Độ nhớt
流量 (りゅうりょう) | Trọng lượng | Áp suất | Nhiệt độ | Lưu lượng
圧力 (あつりょく) | Nhiệt độ | Độ ẩm | Ánh sáng | Áp lực
真空 (しんくう) | Không khí | Nước | Đất | Chân không
品質管理 (ひんしつかんり) | Quản lý nhân sự | Quản lý tài chính | Quản lý sản xuất | Quản lý chất lượng
品質保証 (ひんしつほしょう) | Kiểm tra hàng | Đóng gói | Vận chuyển | Đảm bảo chất lượng
検査 (けんさ) | Sản xuất | Thiết kế | Bán hàng | Kiểm tra
全数検査 (ぜんすうけんさ) | Kiểm tra xác suất | Không kiểm tra | Kiểm tra mẫu | Kiểm tra 100%
抜取検査 (ぬきとりけんさ) | Kiểm tra toàn bộ | Kiểm tra lại | Kiểm tra thử | Kiểm tra lấy mẫu
外観検査 (がいかんけんさ) | Kiểm tra chức năng | Kiểm tra trọng lượng | Kiểm tra độ bền | Kiểm tra ngoại quan
性能試験 (せいのうしけん) | Kiểm tra màu sắc | Kiểm tra kích thước | Kiểm tra bao bì | Thử nghiệm hiệu năng
不良率 (ふりょうりつ) | Tỷ lệ đạt | Tỷ lệ nghỉ | Tỷ lệ thuế | Tỷ lệ lỗi
歩留まり (ぶどまり) | Tỷ lệ phế liệu | Tỷ lệ hỏng | Tỷ lệ mất mát | Tỷ lệ thành phẩm
基準 (きじゅん) | Sai lệch | Tự do | Ngẫu nhiên | Tiêu chuẩn/Căn cứ
規定 (きてい) | Gợi ý | Thói quen | Sở thích | Quy định
手順書 (てじゅんしょ) | Hợp đồng | Hóa đơn | Danh thiếp | Sách hướng dẫn trình tự
仕様書 (しようしょ) | Báo cáo | Thư mời | Lịch hẹn | Bản đặc tả/Thông số
図面 (ずめん) | Tranh ảnh | Sách giáo khoa | Tờ rơi | Bản vẽ
修正 (しゅうせい) | Giữ nguyên | Phá hủy | Làm hỏng | Chỉnh sửa
訂正 (ていせい) | Thêm mới | Xóa bỏ | Bỏ qua | Đính chính
更新 (こうしん) | Giữ cũ | Hủy bỏ | Kết thúc | Cập nhật
有効期限 (ゆうこうきげん) | Ngày sản xuất | Ngày nhập kho | Ngày xuất kho | Thời hạn có hiệu lực
