1. 積極的 (せっきょくてき) | Tiêu cực | Thụ động | Lười biếng | Tích cực
拡大 (かくだい) | Thu hẹp | Dừng lại | Kết thúc | Mở rộng
縮小 (しゅくしょう) | Mở rộng | Phát triển | Tăng lên | Thu nhỏ
改善 (かいぜん) | Làm tồi tệ hơn | Dậm chân | Kết thúc | Cải thiện
修正 (しゅうせい) | Làm hỏng | Vứt đi | Phá hủy | Sửa chữa
変更 (へんこう) | Giữ nguyên | Cố định | Dừng lại | Thay đổi
実践 (じっせん) | Lý thuyết | Phớt lờ | Bỏ cuộc | Thực tiễn
実行 (じっこう) | Hủy bỏ | Phớt lờ | Dừng lại | Thực thi
責任 (せきにん) | Vô trách nhiệm | Bỏ trốn | Lười biếng | Trách nhiệm
義務 (ぎむ) | Quyền lợi | Sự tùy ý | Bỏ qua | Nghĩa vụ
権利 (けんり) | Nghĩa vụ | Sự hạn chế | Bỏ qua | Quyền lợi
許可 (きょか) | Cấm đoán | Phản đối | Phớt lờ | Cho phép
禁止 (きんし) | Cho phép | Khuyến khích | Tự do | Cấm
提案 (ていあん) | Phản đối | Bỏ qua | Phớt lờ | Đề xuất
忠告 (ちゅうこく) | Lời mắng | Im lặng | Phớt lờ | Lời khuyên
警告 (けいこく) | Khuyến khích | Im lặng | Bỏ qua | Cảnh báo
信頼 (しんらい) | Nghi ngờ | Phản bội | Bỏ qua | Tin tưởng
尊敬 (そんけい) | Khinh thường | Phớt lờ | Bỏ qua | Tôn kính
軽蔑 (けいべつ) | Tôn trọng | Tin tưởng | Phớt lờ | Khinh thường
親密 (しんみつ) | Xa cách | Phớt lờ | Bỏ qua | Thân mật
孤独 (こどく) | Thân thiết | Phớt lờ | Bỏ qua | Cô độc
緊張 (きんちょう) | Thư giãn | Bình tĩnh | Thoải mái | Căng thẳng
緩和 (かんわ) | Làm căng | Phớt lờ | Bỏ qua | Giảm bớt/Làm dịu
激怒 (げきど) | Bình tĩnh | Vui vẻ | Phớt lờ | Cực kỳ tức giận
穏やか (おだやか) | Dữ dội | Phớt lờ | Bỏ qua | Ôn hòa
慎重 (しんちょう) | Bất cẩn | Phớt lờ | Bỏ qua | Thận trọng
大胆 (だいたん) | Nhút nhát | Phớt lờ | Bỏ qua | Gan dạ/Táo bạo
繊細 (せんさい) | Thô lỗ | Phớt lờ | Bỏ qua | Tinh tế/Nhạy cảm
無神経 (むしんけい) | Tinh tế | Phớt lờ | Bỏ qua | Vô tâm
頑固 (がんこ) | Dễ bảo | Phớt lờ | Bỏ qua | Bướng bỉnh
素直 (すなお) | Bướng bỉnh | Phớt lờ | Bỏ qua | Ngoan ngoãn
柔軟 (じゅうなん) | Cứng nhắc | Phớt lờ | Bỏ qua | Mềm dẻo/Linh hoạt
厳格 (げんかく) | Dễ dãi | Phớt lờ | Bỏ qua | Nghiêm khắc
寛大 (かんだい) | Nghiêm khắc | Phớt lờ | Bỏ qua | Khoan dung
公平 (こうへい) | Thiên vị | Phớt lờ | Bỏ qua | Công bằng
偏見 (へんけん) | Công bằng | Phớt lờ | Bỏ qua | Thành kiến
差別 (さべつ) | Đối xử bằng | Phớt lờ | Bỏ qua | Phân biệt
協力 (きょうりょく) | Cạnh tranh | Phớt lờ | Bỏ qua | Hợp tác
競争 (きょうそう) | Hợp tác | Phớt lờ | Bỏ qua | Cạnh tranh
対立 (たいりつ) | Hợp tác | Phớt lờ | Bỏ qua | Đối lập
調和 (ちょうわ) | Xung đột | Phớt lờ | Bỏ qua | Hòa hợp
融合 (ゆうごう) | Chia tách | Phớt lờ | Bỏ qua | Dung hợp
分離 (ぶんり) | Hòa hợp | Phớt lờ | Bỏ qua | Chia tách
統合 (とうごう) | Chia tách | Phớt lờ | Bỏ qua | Hợp nhất
独立 (どくりつ) | Phụ thuộc | Phớt lờ | Bỏ qua | Độc lập
依存 (いぞん) | Độc lập | Phớt lờ | Bỏ qua | Phụ thuộc
影響 (えいきょう) | Không liên quan | Phớt lờ | Bỏ qua | Ảnh hưởng
反応 (はんのう) | Phớt lờ | Im lặng | Bỏ qua | Phản ứng
対策 (たいさく) | Nguyên nhân | Phớt lờ | Bỏ qua | Đối sách
誤解 (ごかい) | Hiểu đúng | Phớt lờ | Bỏ qua | Hiểu lầm
解明 (かいめい) | Giấu kín | Phớt lờ | Bỏ qua | Làm sáng tỏ
克服 (こくふく) | Đầu hàng | Phớt lờ | Bỏ qua | Khắc phục
専念 (せんねん) | Bỏ bê | Phớt lờ | Bỏ qua | Chuyên tâm
把握 (はあく) | Hiểu lầm | Phớt lờ | Bỏ qua | Nắm bắt
記録 (きろく) | Xóa bỏ | Phớt lờ | Bỏ qua | Ghi chép
記憶 (きおく) | Sự quên lãng | Phớt lờ | Bỏ qua | Ký ức
観念 (かんねん) | Thực tế | Phớt lờ | Bỏ qua | Quan niệm
哲学 (てつがく) | Thực tế | Phớt lờ | Bỏ qua | Triết học
論理 (ろんり) | Vô nghĩa | Phớt lờ | Bỏ qua | Logic
根拠 (こんきょ) | Vô căn cứ | Phớt lờ | Bỏ qua | Căn cứ
妥当 (だとう) | Vô lý | Phớt lờ | Bỏ qua | Thỏa đáng
正当 (せいとう) | Sai trái | Phớt lờ | Bỏ qua | Chính đáng
不当 (ふとう) | Công bằng | Phớt lờ | Bỏ qua | Bất công
明確 (めいかく) | Mơ hồ | Phớt lờ | Bỏ qua | Rõ ràng
曖昧 (あいまい) | Rõ ràng | Phớt lờ | Bỏ qua | Mơ hồ
複雑 (ふくざつ) | Đơn giản | Phớt lờ | Bỏ qua | Phức tạp
簡易 (かんい) | Phức tạp | Phớt lờ | Bỏ qua | Đơn giản
深刻 (しんこく) | Nhẹ nhàng | Phớt lờ | Bỏ qua | Nghiêm trọng
軽微 (けいび) | Nghiêm trọng | Phớt lờ | Bỏ qua | Nhẹ nhàng
拡大 (かくだい) | Thu hẹp | Phớt lờ | Bỏ qua | Mở rộng
