1. 考慮 (こうりょ) | Phớt lờ | Bỏ qua | Làm ngơ | Xem xét
不当 (ふとう) | Công bằng | Phớt lờ | Sai lệch | Bất công
明確 (めいかく) | Mơ hồ | Phớt lờ | Nhầm lẫn | Rõ ràng
曖昧 (あいまい) | Rõ ràng | Phớt lờ | Sai lệch | Mơ hồ
複雑 (ふくざつ) | Đơn giản | Phớt lờ | Nhầm lẫn | Phức tạp
簡易 (かんい) | Phức tạp | Phớt lờ | Mơ hồ | Đơn giản
深刻 (しんこく) | Nhẹ nhàng | Phớt lờ | Sai lệch | Nghiêm trọng
軽微 (けいび) | Nghiêm trọng | Phớt lờ | Nhầm lẫn | Nhẹ nhàng
拡大 (かくだい) | Thu hẹp | Phớt lờ | Mơ hồ | Mở rộng
縮小 (しゅくしょう) | Mở rộng | Phớt lờ | Sai lệch | Thu nhỏ
改善 (かいぜん) | Làm tệ hơn | Phớt lờ | Nhầm lẫn | Cải thiện
修正 (しゅうせい) | Làm hỏng | Phớt lờ | Mơ hồ | Sửa chữa
変更 (へんこう) | Giữ nguyên | Phớt lờ | Sai lệch | Thay đổi
実施 (じっし) | Hủy bỏ | Phớt lờ | Nhầm lẫn | Thực thi
施行 (しこう) | Bãi bỏ | Phớt lờ | Mơ hồ | Thi hành
提唱 (ていしょう) | Phản đối | Phớt lờ | Sai lệch | Đề xướng
遵守 (じゅんしゅ) | Vi phạm | Phớt lờ | Nhầm lẫn | Tuân thủ
妥協 (だきょう) | Cố chấp | Phớt lờ | Mơ hồ | Thỏa hiệp
指摘 (してき) | Khen ngợi | Phớt lờ | Sai lệch | Chỉ trích
是正 (ぜせい) | Làm sai | Phớt lờ | Nhầm lẫn | Chỉnh đốn
回復 (かいふく) | Suy sụp | Phớt lờ | Mơ hồ | Phục hồi
転換 (てんかん) | Giữ nguyên | Phớt lờ | Sai lệch | Chuyển đổi
融合 (ゆうごう) | Chia tách | Phớt lờ | Nhầm lẫn | Dung hợp
分離 (ぶんり) | Hợp nhất | Phớt lờ | Mơ hồ | Chia tách
統合 (とうごう) | Chia tách | Phớt lờ | Sai lệch | Hợp nhất
独立 (どくりつ) | Phụ thuộc | Phớt lờ | Nhầm lẫn | Độc lập
依存 (いぞん) | Độc lập | Phớt lờ | Mơ hồ | Phụ thuộc
供給 (きょうきゅう) | Nhu cầu | Phớt lờ | Sai lệch | Cung cấp
需要 (じゅよう) | Cung cấp | Phớt lờ | Nhầm lẫn | Nhu cầu
消費 (しょうひ) | Tích trữ | Phớt lờ | Mơ hồ | Tiêu thụ
貯蓄 (ちょちく) | Phung phí | Phớt lờ | Sai lệch | Tiết kiệm
投資 (とうし) | Rút vốn | Phớt lờ | Nhầm lẫn | Đầu tư
利益 (りえき) | Thua lỗ | Phớt lờ | Mơ hồ | Lợi nhuận
損失 (そんしつ) | Lợi nhuận | Phớt lờ | Sai lệch | Tổn thất
資産 (しさん) | Nợ nần | Phớt lờ | Nhầm lẫn | Tài sản
負債 (ふさい) | Tài sản | Phớt lờ | Mơ hồ | Nợ nần
予算 (よさん) | Chi vượt | Phớt lờ | Sai lệch | Ngân sách
決算 (けっさん) | Lãng phí | Phớt lờ | Nhầm lẫn | Quyết toán
監査 (かんさ) | Bỏ qua | Phớt lờ | Mơ hồ | Kiểm toán
契約 (けいやく) | Hủy bỏ | Phớt lờ | Sai lệch | Hợp đồng
承認 (しょうにん) | Từ chối | Phớt lờ | Nhầm lẫn | Phê duyệt
締結 (ていけつ) | Hủy bỏ | Phớt lờ | Mơ hồ | Ký kết
破棄 (はき) | Ký kết | Phớt lờ | Sai lệch | Hủy bỏ
公正 (こうせい) | Thiên vị | Phớt lờ | Nhầm lẫn | Công bằng
偏向 (へんこう) | Công bằng | Phớt lờ | Mơ hồ | Thiên kiến
独占 (どくせん) | Cạnh tranh | Phớt lờ | Sai lệch | Độc quyền
競争 (きょうそう) | Độc quyền | Phớt lờ | Nhầm lẫn | Cạnh tranh
独創 (どくそう) | Bắt chước | Phớt lờ | Mơ hồ | Độc đáo
模倣 (もほう) | Sáng tạo | Phớt lờ | Sai lệch | Bắt chước
革新 (かくしん) | Lạc hậu | Phớt lờ | Nhầm lẫn | Cách tân
保守 (ほしゅ) | Cải cách | Phớt lờ | Mơ hồ | Bảo thủ
伝統 (でんとう) | Hiện đại | Phớt lờ | Sai lệch | Truyền thống
現代 (げんだい) | Cổ đại | Phớt lờ | Nhầm lẫn | Hiện đại
迅速 (じんそく) | Trì hoãn | Phớt lờ | Mơ hồ | Nhanh chóng
停滞 (ていたい) | Phát triển | Phớt lờ | Sai lệch | Trì trệ
循環 (じゅんかん) | Dừng lại | Phớt lờ | Nhầm lẫn | Tuần hoàn
滞納 (たいのう) | Nộp đúng | Phớt lờ | Mơ hồ | Nộp trễ
納入 (のうにゅう) | Rút ra | Phớt lờ | Sai lệch | Nộp vào
輸送 (ゆそう) | Lưu giữ | Phớt lờ | Nhầm lẫn | Vận chuyển
配送 (はいそう) | Giữ lại | Phớt lờ | Mơ hồ | Phân phối
保管 (ほかん) | Vận chuyển | Phớt lờ | Sai lệch | Lưu kho
在庫 (ざいこ) | Hết hàng | Phớt lờ | Nhầm lẫn | Hàng tồn
廃棄 (はいき) | Tái sử dụng | Phớt lờ | Mơ hồ | Loại bỏ
効率 (こうりつ) | Lãng phí | Phớt lờ | Sai lệch | Hiệu suất
採算 (さいさん) | Thua lỗ | Phớt lờ | Nhầm lẫn | Hiệu quả kinh tế
収益 (しゅうえき) | Chi phí | Phớt lờ | Mơ hồ | Thu nhập
費用 (ひよう) | Lợi nhuận | Phớt lờ | Sai lệch | Chi phí
報酬 (ほうしゅう) | Miễn phí | Phớt lờ | Nhầm lẫn | Thù lao
賃金 (ちんぎん) | Không công | Phớt lờ | Mơ hồ | Tiền lương
雇用 (こよう) | Sa thải | Phớt lờ | Sai lệch | Thuê/Tuyển dụng
解雇 (かいこ) | Thuê | Phớt lờ | Nhầm lẫn | Sa thải
昇進 (しょうしん) | Giáng chức | Phớt lờ | Mơ hồ | Thăng tiến
左遷 (させん) | Thăng tiến | Phớt lờ | Sai lệch | Giáng chức
辞職 (じしょく) | Nhậm chức | Phớt lờ | Nhầm lẫn | Từ chức
就任 (しゅうにん) | Từ chức | Phớt lờ | Mơ hồ | Nhậm chức
引退 (いんたい) | Hoạt động | Phớt lờ | Sai lệch | Giải nghệ
復帰 (ふっき) | Nghỉ hưu | Phớt lờ | Nhầm lẫn | Quay lại
貢献 (こうけん) | Phá hoại | Phớt lờ | Mơ hồ | Cống hiến
寄付 (きふ) | Chiếm đoạt | Phớt lờ | Sai lệch | Quyên góp
慈善 (じぜん) | Ác ý | Phớt lờ | Nhầm lẫn | Từ thiện
福祉 (ふくし) | Nghèo đói | Phớt lờ | Mơ hồ | Phúc lợi
保険 (ほけん) | Nguy hiểm | Phớt lờ | Sai lệch | Bảo hiểm
年金 (ねんきん) | Tự túc | Phớt lờ | Nhầm lẫn | Lương hưu
医療 (いりょう) | Bệnh tật | Phớt lờ | Mơ hồ | Y tế
