1. 準備 (じゅんび) | Kết thúc | Bắt đầu | Kiểm tra | Chuẩn bị
記録 (きろく) | Xóa bỏ | Bỏ qua | Quên | Ghi chép
記憶 (きおく) | Sự quên lãng | Sự nhầm lẫn | Sự bỏ dở | Ký ức
習慣 (しゅうかん) | Sự lạ lẫm | Sự bỏ dở | Sự thay đổi | Thói quen
文化 (ぶんか) | Sự lạc hậu | Sự biến mất | Sự phá hủy | Văn hóa
芸術 (げいじゅつ) | Sự thô kệch | Sự vô nghĩa | Sự phá hủy | Nghệ thuật
科学 (かがく) | Sự mê tín | Sự lạ lẫm | Sự lạc hậu | Khoa học
医学 (いがく) | Sự lạ lẫm | Sự vô nghĩa | Sự phá hủy | Y học
政治 (せいじ) | Sự vô chính phủ | Sự hỗn loạn | Sự bỏ dở | Chính trị
経済 (けいざい) | Sự nghèo đói | Sự phá sản | Sự bỏ dở | Kinh tế
社会 (しゃかい) | Sự cô lập | Sự hỗn loạn | Sự phá hủy | Xã hội
法律 (ほうりつ) | Sự phạm tội | Sự hỗn loạn | Sự vô nghĩa | Pháp luật
歴史 (れきし) | Sự tương lai | Sự lạ lẫm | Sự quên lãng | Lịch sử
地理 (ちり) | Sự lạ lẫm | Sự vô nghĩa | Sự phá hủy | Địa lý
数学 (すうがく) | Sự vô nghĩa | Sự lạ lẫm | Sự phá hủy | Toán học
物理 (ぶつり) | Sự vô nghĩa | Sự lạ lẫm | Sự phá hủy | Vật lý
化学 (かがく) | Sự vô nghĩa | Sự lạ lẫm | Sự phá hủy | Hóa học
体育 (たいいく) | Sự lười biếng | Sự yếu đuối | Sự bỏ dở | Thể dục
音楽 (おんがく) | Sự ồn ào | Sự vô nghĩa | Sự im lặng | Âm nhạc
案内 (あんない) | Làm phiền | Ngăn cản | Phớt lờ | Hướng dẫn
交換 (こうかん) | Giữ lại | Vứt bỏ | Làm mất | Trao đổi
返品 (へんぴん) | Mua thêm | Giữ lại | Sử dụng | Trả lại hàng
注文 (ちゅうもん) | Hủy đơn | Bỏ qua | Phớt lờ | Đặt hàng
配達 (はいたつ) | Giữ lại | Ngăn cản | Vứt bỏ | Giao hàng
運転 (うんてん) | Đi bộ | Đi tàu | Ngồi yên | Lái xe
故障 (こしょう) | Hoạt động tốt | Mới | Sửa xong | Hỏng hóc
修理 (しゅうり) | Làm hỏng | Vứt đi | Phá hủy | Sửa chữa
停電 (ていでん) | Có điện | Thắp đèn | Bật máy | Mất điện
掃除 (そうじ) | Làm bẩn | Bỏ hoang | Phá hủy | Dọn dẹp
洗濯 (せんたく) | Làm bẩn | Vứt đi | Phá hủy | Giặt giũ
準備 (じゅんび) | Bỏ dở | Kết thúc | Phớt lờ | Chuẩn bị
片付け (かたづけ) | Làm bừa bãi | Phá hủy | Vứt đi | Dọn dẹp/Sắp xếp
整理 (せいり) | Làm rối | Vứt bỏ | Phá hủy | Chỉnh sửa/Sắp xếp
相談 (そうだん) | Phản đối | Tự quyết | Im lặng | Thảo luận/Trao đổi
約束 (やくそく) | Hủy bỏ | Trả lại | Mượn | Lời hứa/Cuộc hẹn
連絡 (れんらく) | Ngắt kết nối | Bỏ qua | Phớt lờ | Liên lạc
集合 (しゅうごう) | Giải tán | Tản mát | Tách rời | Tập hợp
解散 (かいさん) | Tập hợp | Kết hợp | Gắn kết | Giải tán
解決 (かいけつ) | Bỏ mặc | Làm rối | Dừng lại | Giải quyết
失敗 (しっぱい) | Thành công | Thắng lợi | Tiến bộ | Thất bại
成功 (せいこう) | Thất bại | Rủi ro | Lãng phí | Thành công
原因 (げんいん) | Kết quả | Mục tiêu | Giải pháp | Nguyên nhân
結果 (けっか) | Nguyên nhân | Khởi đầu | Quá trình | Kết quả
目的 (もくてき) | Hậu quả | Nguyên nhân | Tình cờ | Mục đích
計画 (けいかく) | Thực tế | Tình cờ | Hậu quả | Kế hoạch
確認 (かくにん) | Bỏ qua | Phớt lờ | Nghi ngờ | Xác nhận
変更 (へんこう) | Giữ nguyên | Cố định | Dừng lại | Thay đổi
中止 (ちゅうし) | Tiếp tục | Bắt đầu | Phát triển | Hủy bỏ
延期 (えんき) | Làm sớm | Hủy bỏ | Bắt đầu | Hoãn lại
提出 (ていしゅつ) | Giữ lại | Cất đi | Vứt bỏ | Nộp (báo cáo)
受付 (うけつけ) | Từ chối | Bỏ qua | Phớt lờ | Tiếp tân/Tiếp nhận
検査 (けんさ) | Bỏ qua | Phớt lờ | Tin tưởng | Kiểm tra
発見 (はっけん) | Che giấu | Phớt lờ | Làm mất | Phát hiện
製作 (せいくさ) | Phá hủy | Vứt đi | Bỏ cuộc | Chế tạo
完成 (かんせい) | Bỏ dở | Phá hủy | Dừng lại | Hoàn thành
参加 (さんか) | Vắng mặt | Từ bỏ | Dừng lại | Tham gia
応援 (おうえん) | Ngăn cản | Phản đối | Từ bỏ | Cổ vũ
記録 (きろく) | Xóa bỏ | Bỏ qua | Quên | Ghi chép
記憶 (きおく) | Sự quên lãng | Sự nhầm lẫn | Sự bỏ dở | Ký ức
習慣 (しゅうかん) | Sự lạ lẫm | Sự bỏ dở | Sự thay đổi | Thói quen
文化 (ぶんか) | Sự lạc hậu | Sự biến mất | Sự phá hủy | Văn hóa
芸術 (げいじゅつ) | Sự thô kệch | Sự vô nghĩa | Sự phá hủy | Nghệ thuật
科学 (かがく) | Sự mê tín | Sự lạ lẫm | Sự lạc hậu | Khoa học
医学 (いがく) | Sự lạ lẫm | Sự vô nghĩa | Sự phá hủy | Y học
政治 (せいじ) | Sự vô chính phủ | Sự hỗn loạn | Sự bỏ dở | Chính trị
経済 (けいざい) | Sự nghèo đói | Sự phá sản | Sự bỏ dở | Kinh tế
社会 (しゃかい) | Sự cô lập | Sự hỗn loạn | Sự phá hủy | Xã hội
法律 (ほうりつ) | Sự phạm tội | Sự hỗn loạn | Sự vô nghĩa | Pháp luật
歴史 (れきし) | Sự tương lai | Sự lạ lẫm | Sự quên lãng | Lịch sử
